Commodity,Unit,Country,Quantity,Value
TEA,KGS,AFGHANISTAN,2158857.0,4.03
TEA,KGS,ALBANIA,81420.0,0.27
TEA,KGS,ALGERIA,108036.0,0.19
TEA,KGS,ANGOLA,182855.0,0.82
TEA,KGS,ARGENTINA,120.0,0.0
TEA,KGS,ARMENIA,6833.0,0.03
TEA,KGS,ARUBA,19.0,0.0
TEA,KGS,AUSTRALIA,3161548.0,15.05
TEA,KGS,AUSTRIA,3353.0,0.06
TEA,KGS,AZERBAIJAN,360446.0,0.94
TEA,KGS,BAHARAIN IS,482184.0,2.01
TEA,KGS,BANGLADESH PR,2056435.0,4.06
TEA,KGS,BARBADOS,70.0,0.0
TEA,KGS,BELARUS,8232.0,0.02
TEA,KGS,BELGIUM,1563722.0,4.33
TEA,KGS,BELIZE,1990.0,0.01
TEA,KGS,BENIN,44728.0,0.29
TEA,KGS,BHUTAN,391769.0,1.19
TEA,KGS,BOTSWANA,1249.0,0.01
TEA,KGS,BRAZIL,13201.0,0.11
TEA,KGS,BRUNEI,9330.0,0.03
TEA,KGS,BULGARIA,11821.0,0.04
TEA,KGS,BURKINA FASO,627205.0,2.82
TEA,KGS,CAMBODIA,6182.0,0.02
TEA,KGS,CAMEROON,9971.0,0.13
TEA,KGS,CANADA,2645289.0,13.1
TEA,KGS,CAYMAN IS,140.0,0.0
TEA,KGS,CHILE,62733.0,0.14
TEA,KGS,CHINA P RP,12270705.0,27.43
TEA,KGS,COLOMBIA,127000.0,0.2
TEA,KGS,CONGO D. REP.,18492.0,0.09
TEA,KGS,CONGO P REP,34614.0,0.16
TEA,KGS,COTE D' IVOIRE,347290.0,1.93
TEA,KGS,CROATIA,27679.0,0.07
TEA,KGS,CUBA,8000.0,0.03
TEA,KGS,CYPRUS,3925.0,0.02
TEA,KGS,CZECH REPUBLIC,31465.0,0.34
TEA,KGS,DENMARK,107714.0,0.88
TEA,KGS,DJIBOUTI,10.0,0.0
TEA,KGS,DOMINIC REP,16.0,0.0
TEA,KGS,EGYPT A RP,3517084.0,6.66
TEA,KGS,EL SALVADOR,14.0,0.0
TEA,KGS,ESTONIA,1339.0,0.03
TEA,KGS,FIJI IS,6129.0,0.05
TEA,KGS,FINLAND,1101510.0,3.15
TEA,KGS,FRANCE,336729.0,2.87
TEA,KGS,GABON,200.0,0.0
TEA,KGS,GAMBIA,175696.0,0.48
TEA,KGS,GEORGIA,351520.0,0.93
TEA,KGS,GERMANY,10149069.0,37.63
TEA,KGS,GHANA,699585.0,3.91
TEA,KGS,GREECE,35553.0,0.15
TEA,KGS,GRENADA,15.0,0.0
TEA,KGS,GUATEMALA,27.0,0.0
TEA,KGS,GUINEA,293168.0,0.98
TEA,KGS,GUYANA,62.0,0.0
TEA,KGS,HONG KONG,242825.0,0.98
TEA,KGS,HUNGARY,1604.0,0.01
TEA,KGS,INDONESIA,1013536.0,1.73
TEA,KGS,IRAN,49472865.0,198.13
TEA,KGS,IRAQ,5342772.0,9.92
TEA,KGS,IRELAND,1619899.0,12.72
TEA,KGS,ISRAEL,101669.0,0.34
TEA,KGS,ITALY,1397647.0,10.73
TEA,KGS,JAMAICA,1092.0,0.01
TEA,KGS,JAPAN,5349928.0,27.78
TEA,KGS,JORDAN,76008.0,0.35
TEA,KGS,KAZAKHSTAN,9350119.0,23.6
TEA,KGS,KENYA,569827.0,1.3
TEA,KGS,KIRIBATI REP,2927.0,0.02
TEA,KGS,KOREA RP,146733.0,1.77
TEA,KGS,KUWAIT,964086.0,4.08
