Commodity,Country,Unit,Quantity,Value
TEA                                               ,AFGHANISTAN,KGS,571902.0,1.35
TEA                                               ,ALBANIA,KGS,0.0,0.0
TEA                                               ,ALGERIA,KGS,53000.0,0.09
TEA                                               ,ANDORRA,KGS,0.0,0.0
TEA                                               ,ANGOLA,KGS,236208.0,1.29
TEA                                               ,ARGENTINA,KGS,1698.0,0.02
TEA                                               ,ARMENIA,KGS,0.0,0.0
TEA                                               ,AUSTRALIA,KGS,2951824.0,17.61
TEA                                               ,AUSTRIA,KGS,5237.0,0.03
TEA                                               ,AZERBAIJAN,KGS,376194.0,1.03
TEA                                               ,BAHARAIN IS,KGS,389382.0,1.75
TEA                                               ,BANGLADESH PR,KGS,333147.0,1.69
TEA                                               ,BARBADOS,KGS,258.0,0.0
TEA                                               ,BELARUS,KGS,0.0,0.0
TEA                                               ,BELGIUM,KGS,1521498.0,4.28
TEA                                               ,BENIN,KGS,21918.0,0.16
TEA                                               ,BHUTAN,KGS,469578.0,1.92
TEA                                               ,BOLIVIA,KGS,0.0,0.0
TEA                                               ,BOTSWANA,KGS,1498.0,0.01
TEA                                               ,BR VIRGN IS,KGS,1.0,0.0
TEA                                               ,BRAZIL,KGS,1514.0,0.03
TEA                                               ,BRUNEI,KGS,10214.0,0.04
TEA                                               ,BULGARIA,KGS,1114.0,0.03
TEA                                               ,BURKINA FASO,KGS,827739.0,4.71
TEA                                               ,CAMBODIA,KGS,2636.0,0.04
TEA                                               ,CAMEROON,KGS,37939.0,0.24
TEA                                               ,CANADA,KGS,2665637.0,14.87
TEA                                               ,CAYMAN IS,KGS,5.0,0.0
TEA                                               ,CHILE,KGS,3749.0,0.04
TEA                                               ,CHINA P RP,KGS,5123355.0,13.1
TEA                                               ,COLOMBIA,KGS,176284.0,0.3
TEA                                               ,COMOROS,KGS,33.0,0.0
TEA                                               ,CONGO D. REP.,KGS,4148.0,0.03
TEA                                               ,CONGO P REP,KGS,28165.0,0.17
TEA                                               ,COTE D' IVOIRE,KGS,452069.0,2.8
TEA                                               ,CROATIA,KGS,56643.0,0.17
TEA                                               ,CUBA,KGS,0.0,0.0
TEA                                               ,CYPRUS,KGS,5326.0,0.04
TEA                                               ,CZECH REPUBLIC,KGS,27795.0,0.42
TEA                                               ,DENMARK,KGS,53924.0,0.73
TEA                                               ,DJIBOUTI,KGS,2151.0,0.01
TEA                                               ,DOMINICA,KGS,0.0,0.0
TEA                                               ,ECUADOR,KGS,174.0,0.0
TEA                                               ,EGYPT A RP,KGS,228181.0,0.58
TEA                                               ,EQUTL GUINEA,KGS,509.0,0.0
TEA                                               ,ESTONIA,KGS,1370.0,0.03
TEA                                               ,FIJI IS,KGS,33742.0,0.24
TEA                                               ,FINLAND,KGS,372970.0,1.77
TEA                                               ,FR GUIANA,KGS,0.0,0.0
TEA                                               ,FRANCE,KGS,253105.0,2.39
TEA                                               ,GABON,KGS,780.0,0.01
TEA                                               ,GAMBIA,KGS,157421.0,0.68
TEA                                               ,GEORGIA,KGS,545837.0,1.47
TEA                                               ,GERMANY,KGS,10345306.0,43.79
TEA                                               ,GHANA,KGS,1329877.0,7.14
TEA                                               ,GREECE,KGS,28072.0,0.1
TEA                                               ,GUADELOUPE,KGS,3.0,0.0
TEA                                               ,GUAM,KGS,197.0,0.01
TEA                                               ,GUATEMALA,KGS,48.0,0.0
TEA                                               ,GUINEA,KGS,178069.0,1.16
TEA                                               ,GUINEA BISSAU,KGS,50.0,0.0
TEA                                               ,GUYANA,KGS,75.0,0.0
TEA                                               ,HONG KONG,KGS,262001.0,1.14
TEA                                               ,HUNGARY,KGS,213.0,0.01
TEA                                               ,ICELAND,KGS,0.0,0.0
TEA                                               ,INDONESIA,KGS,266414.0,1.07
TEA                                               ,IRAN,KGS,30791797.0,105.91
TEA                                               ,IRAQ,KGS,11694164.0,23.01
TEA                                               ,IRELAND,KGS,1698272.0,14.94
TEA                                               ,ISRAEL,KGS,78375.0,0.38
TEA                                               ,ITALY,KGS,1600907.0,12.64
TEA                                               ,JAMAICA,KGS,0.0,0.0
TEA                                               ,JAPAN,KGS,3733588.0,22.03
TEA                                               ,JORDAN,KGS,113144.0,0.57
TEA                                               ,KAZAKHSTAN,KGS,6392220.0,15.14
TEA                                               ,KENYA,KGS,888115.0,2.29
TEA                                               ,KIRIBATI REP,KGS,0.0,0.0
TEA                                               ,KOREA RP,KGS,272348.0,3.78
TEA                                               ,KUWAIT,KGS,703979.0,3.16
TEA                                               ,KYRGHYZSTAN,KGS,164000.0,0.86
TEA                                               ,LATVIA,KGS,93206.0,0.3
TEA                                               ,LEBANON,KGS,256949.0,0.65
TEA                                               ,LIBERIA,KGS,678.0,0.0
TEA                                               ,LIBYA,KGS,12240.0,0.07
TEA                                               ,LITHUANIA,KGS,63266.0,0.26
TEA                                               ,LUXEMBOURG,KGS,87.0,0.0
TEA                                               ,MACEDONIA,KGS,1.0,0.0
TEA                                               ,MADAGASCAR,KGS,4705.0,0.08
TEA                                               ,MALAWI,KGS,773.0,0.01
TEA                                               ,MALAYSIA,KGS,1581686.0,3.93
TEA                                               ,MALDIVES,KGS,95690.0,0.52
TEA                                               ,MALI,KGS,474234.0,2.55
TEA                                               ,MALTA,KGS,0.0,0.0
TEA                                               ,MAURITANIA,KGS,124.0,0.0
TEA                                               ,MAURITIUS,KGS,25219.0,0.14
TEA                                               ,MEXICO,KGS,221325.0,2.97
TEA                                               ,MOLDOVA,KGS,30.0,0.0
TEA                                               ,MONGOLIA,KGS,114.0,0.0
TEA                                               ,MOROCCO,KGS,48696.0,0.12
TEA                                               ,MOZAMBIQUE,KGS,3387.0,0.02
TEA                                               ,MYANMAR,KGS,443849.0,3.29
TEA                                               ,NAMIBIA,KGS,0.0,0.0
TEA                                               ,NEPAL,KGS,260370.0,0.99
TEA                                               ,NETHERLAND,KGS,2630984.0,18.4
TEA                                               ,NETHERLANDANTIL,KGS,1336.0,0.02
TEA                                               ,NEW CALEDONIA,KGS,104.0,0.0
TEA                                               ,NEW ZEALAND,KGS,309157.0,1.89
TEA                                               ,NIGER,KGS,454216.0,2.85
TEA                                               ,NIGERIA,KGS,323714.0,1.85
TEA                                               ,NORWAY,KGS,38994.0,0.39
TEA                                               ,OMAN,KGS,614438.0,2.41
TEA                                               ,PAKISTAN IR,KGS,214713.0,0.38
TEA                                               ,PANAMA REPUBLIC,KGS,5454.0,0.04
TEA                                               ,PAPUA N GNA,KGS,415.0,0.0
TEA                                               ,PARAGUAY,KGS,0.0,0.0
TEA                                               ,PERU,KGS,22000.0,0.03
TEA                                               ,PHILIPPINES,KGS,123978.0,0.97
TEA                                               ,POLAND,KGS,5424513.0,15.15
TEA                                               ,PORTUGAL,KGS,35264.0,0.14
TEA                                               ,QATAR,KGS,1475055.0,6.13
TEA                                               ,REUNION,KGS,2881.0,0.03
TEA                                               ,ROMANIA,KGS,1021.0,0.03
TEA                                               ,RUSSIA,KGS,32972180.0,76.01
TEA                                               ,RWANDA,KGS,135.0,0.0
TEA                                               ,SAUDI ARAB,KGS,4227775.0,17.34
TEA                                               ,SENEGAL,KGS,89624.0,0.45
TEA                                               ,SERBIA,KGS,20840.0,0.2
TEA                                               ,SEYCHELLES,KGS,12358.0,0.06
TEA                                               ,SIERRA LEONE,KGS,162493.0,0.76
TEA                                               ,SINGAPORE,KGS,700118.0,3.58
TEA                                               ,SLOVAK REP,KGS,368.0,0.01
TEA                                               ,SLOVENIA,KGS,15.0,0.0
TEA                                               ,SOMALIA,KGS,43254.0,0.14
TEA                                               ,SOUTH AFRICA,KGS,143456.0,0.87
TEA                                               ,SOUTH SUDAN,KGS,134.0,0.0
TEA                                               ,SPAIN,KGS,1244381.0,1.98
TEA                                               ,SRI LANKA DSR,KGS,2278671.0,6.65
TEA                                               ,ST LUCIA,KGS,14.0,0.0
TEA                                               ,SUDAN,KGS,850.0,0.01
TEA                                               ,SURINAME,KGS,69345.0,0.28
TEA                                               ,SWAZILAND,KGS,10.0,0.0
TEA                                               ,SWEDEN,KGS,217711.0,2.18
TEA                                               ,SWITZERLAND,KGS,187907.0,0.76
TEA                                               ,SYRIA,KGS,51310.0,0.17
TEA                                               ,TAIWAN,KGS,3447579.0,8.54
TEA                                               ,TAJIKISTAN,KGS,381220.0,0.95
TEA                                               ,TANZANIA REP,KGS,26054.0,0.15
TEA                                               ,THAILAND,KGS,196510.0,1.86
TEA                                               ,TIMOR-LESTE,KGS,140.0,0.0
TEA                                               ,TOGO,KGS,73776.0,0.52
TEA                                               ,TRINIDAD,KGS,6969.0,0.07
TEA                                               ,TUNISIA,KGS,3667376.0,5.54
TEA                                               ,TURKEY,KGS,2053238.0,5.21
TEA                                               ,TURKMENISTAN,KGS,87129.0,0.19
TEA                                               ,U ARAB EMTS,KGS,25691390.0,85.13
TEA                                               ,U K,KGS,10926188.0,43.09
TEA                                               ,U S A,KGS,13547860.0,80.07
TEA                                               ,UGANDA,KGS,2262.0,0.01
TEA                                               ,UKRAINE,KGS,1757691.0,4.17
TEA                                               ,UNSPECIFIED,KGS,7351.0,0.12
TEA                                               ,URUGUAY,KGS,459.0,0.02
TEA                                               ,UZBEKISTAN,KGS,341841.0,0.74
TEA                                               ,VANUATU REP,KGS,0.0,0.0
TEA                                               ,VENEZUELA,KGS,89750.0,0.76
TEA                                               ,VIETNAM SOC REP,KGS,44234.0,0.37
TEA                                               ,YEMEN REPUBLC,KGS,17105.0,0.08
TEA                                               ,ZAMBIA,KGS,11120.0,0.09
COFFEE                                            ,ALBANIA,KGS,1458060.0,2.78
COFFEE                                            ,ALGERIA,KGS,6072140.0,11.91
COFFEE                                            ,ANGOLA,KGS,25483.0,0.21
COFFEE                                            ,ARGENTINA,KGS,119815.0,0.23
COFFEE                                            ,ARMENIA,KGS,134610.0,0.87
COFFEE                                            ,AUSTRALIA,KGS,6272443.0,18.54
COFFEE                                            ,AUSTRIA,KGS,10501.0,0.16
COFFEE                                            ,AZERBAIJAN,KGS,0.0,0.0
