Commodity,Country,Unit,Quantity,Value
COTTON RAW INCLD. WASTE                           ,AUSTRALIA,TON,82324.0,285.92
COTTON RAW INCLD. WASTE                           ,AUSTRIA,TON,0.0,0.0
COTTON RAW INCLD. WASTE                           ,BANGLADESH PR,TON,63422.0,27.6
COTTON RAW INCLD. WASTE                           ,BELGIUM,TON,48.0,0.06
COTTON RAW INCLD. WASTE                           ,BELIZE,TON,25.0,0.09
COTTON RAW INCLD. WASTE                           ,BENIN,TON,1261.0,4.56
COTTON RAW INCLD. WASTE                           ,BRAZIL,TON,19651.0,66.33
COTTON RAW INCLD. WASTE                           ,BURKINA FASO,TON,2031.0,7.32
COTTON RAW INCLD. WASTE                           ,C AFRI REP,TON,497.0,1.85
COTTON RAW INCLD. WASTE                           ,CAMEROON,TON,9285.0,31.17
COTTON RAW INCLD. WASTE                           ,CHAD,TON,1266.0,4.3
COTTON RAW INCLD. WASTE                           ,CHINA P RP,TON,1284.0,5.17
COTTON RAW INCLD. WASTE                           ,COTE D' IVOIRE,TON,15333.0,52.48
COTTON RAW INCLD. WASTE                           ,EGYPT A RP,TON,19456.0,73.68
COTTON RAW INCLD. WASTE                           ,FRANCE,TON,263.0,0.91
COTTON RAW INCLD. WASTE                           ,GERMANY,TON,1371.0,5.95
COTTON RAW INCLD. WASTE                           ,GREECE,TON,3162.0,10.09
COTTON RAW INCLD. WASTE                           ,GUINEA,TON,1000.0,3.4
COTTON RAW INCLD. WASTE                           ,HONG KONG,TON,280.0,1.03
COTTON RAW INCLD. WASTE                           ,INDONESIA,TON,456.0,0.83
COTTON RAW INCLD. WASTE                           ,ISRAEL,TON,1734.0,9.82
COTTON RAW INCLD. WASTE                           ,ITALY,TON,154.0,0.92
COTTON RAW INCLD. WASTE                           ,JAPAN,TON,118.0,0.34
COTTON RAW INCLD. WASTE                           ,KYRGHYZSTAN,TON,0.0,0.0
COTTON RAW INCLD. WASTE                           ,MALAWI,TON,273.0,0.87
COTTON RAW INCLD. WASTE                           ,MALI,TON,2320.0,7.36
COTTON RAW INCLD. WASTE                           ,MAURITANIA,TON,751.0,2.54
COTTON RAW INCLD. WASTE                           ,MAURITIUS,TON,0.0,0.0
COTTON RAW INCLD. WASTE                           ,MEXICO,TON,61.0,0.39
COTTON RAW INCLD. WASTE                           ,MOZAMBIQUE,TON,461.0,1.21
COTTON RAW INCLD. WASTE                           ,NETHERLAND,TON,4692.0,14.69
COTTON RAW INCLD. WASTE                           ,NIGERIA,TON,1691.0,5.13
COTTON RAW INCLD. WASTE                           ,OMAN,TON,661.0,0.27
COTTON RAW INCLD. WASTE                           ,PHILIPPINES,TON,53.0,0.09
COTTON RAW INCLD. WASTE                           ,SENEGAL,TON,3813.0,12.99
COTTON RAW INCLD. WASTE                           ,SINGAPORE,TON,33559.0,121.94
COTTON RAW INCLD. WASTE                           ,SPAIN,TON,153.0,0.82
COTTON RAW INCLD. WASTE                           ,SRI LANKA DSR,TON,8.0,0.01
COTTON RAW INCLD. WASTE                           ,SUDAN,TON,2313.0,6.34
COTTON RAW INCLD. WASTE                           ,SWITZERLAND,TON,23164.0,81.29
COTTON RAW INCLD. WASTE                           ,TAIWAN,TON,0.0,0.0
COTTON RAW INCLD. WASTE                           ,TAJIKISTAN,TON,0.0,0.0
COTTON RAW INCLD. WASTE                           ,TANZANIA REP,TON,10056.0,27.87
COTTON RAW INCLD. WASTE                           ,TOGO,TON,5530.0,18.34
COTTON RAW INCLD. WASTE                           ,TURKEY,TON,2037.0,6.58
COTTON RAW INCLD. WASTE                           ,U ARAB EMTS,TON,648.0,2.12
COTTON RAW INCLD. WASTE                           ,U S A,TON,134856.0,533.88
COTTON RAW INCLD. WASTE                           ,UGANDA,TON,40.0,0.12
COTTON RAW INCLD. WASTE                           ,VIETNAM SOC REP,TON,40.0,0.07
VEGETABLE OILS                                    ,ALGERIA,TON,0.0,0.0
VEGETABLE OILS                                    ,ARGENTINA,TON,2080695.0,3297.74
VEGETABLE OILS                                    ,AUSTRALIA,TON,0.0,0.0
VEGETABLE OILS                                    ,BAHARAIN IS,TON,0.0,0.0
VEGETABLE OILS                                    ,BANGLADESH PR,TON,2128.0,2.72
VEGETABLE OILS                                    ,BELGIUM,TON,1896.0,5.5
VEGETABLE OILS                                    ,BENIN,TON,3339.0,6.23
VEGETABLE OILS                                    ,BRAZIL,TON,1585293.0,2393.99
VEGETABLE OILS                                    ,BULGARIA,TON,163477.0,243.75
VEGETABLE OILS                                    ,BURKINA FASO,TON,1082.0,1.59
VEGETABLE OILS                                    ,CAMBODIA,TON,7471.0,10.89
VEGETABLE OILS                                    ,CAMEROON,TON,210.0,0.32
VEGETABLE OILS                                    ,CANADA,TON,0.0,0.01
VEGETABLE OILS                                    ,CHINA P RP,TON,36.0,0.49
VEGETABLE OILS                                    ,COTE D' IVOIRE,TON,11810.0,21.14
VEGETABLE OILS                                    ,CROATIA,TON,440.0,0.66
VEGETABLE OILS                                    ,CZECH REPUBLIC,TON,0.0,0.0
VEGETABLE OILS                                    ,DENMARK,TON,0.0,0.0
VEGETABLE OILS                                    ,EGYPT A RP,TON,0.0,0.0
VEGETABLE OILS                                    ,FRANCE,TON,552.0,0.99
VEGETABLE OILS                                    ,GERMANY,TON,935.0,2.29
VEGETABLE OILS                                    ,GHANA,TON,21.0,0.03
VEGETABLE OILS                                    ,GREECE,TON,30.0,0.15
VEGETABLE OILS                                    ,GUINEA,TON,0.0,0.0
VEGETABLE OILS                                    ,HONG KONG,TON,0.0,0.0
VEGETABLE OILS                                    ,HUNGARY,TON,252.0,0.39
VEGETABLE OILS                                    ,INDONESIA,TON,5050757.0,5639.28
VEGETABLE OILS                                    ,ITALY,TON,1605.0,5.75
VEGETABLE OILS                                    ,JAPAN,TON,5.0,0.09
VEGETABLE OILS                                    ,KENYA,TON,149.0,0.33
VEGETABLE OILS                                    ,KOREA RP,TON,0.0,0.0
VEGETABLE OILS                                    ,LAO PD RP,TON,0.0,0.01
VEGETABLE OILS                                    ,LATVIA,TON,20083.0,41.35
VEGETABLE OILS                                    ,LIBERIA,TON,4417.0,7.26
VEGETABLE OILS                                    ,LITHUANIA,TON,14328.0,22.28
VEGETABLE OILS                                    ,MALAYSIA,TON,2842875.0,3608.05
VEGETABLE OILS                                    ,MEXICO,TON,16.0,0.09
VEGETABLE OILS                                    ,MOLDOVA,TON,2645.0,3.7
VEGETABLE OILS                                    ,MOROCCO,TON,0.0,0.0
VEGETABLE OILS                                    ,NAMIBIA,TON,21.0,0.04
VEGETABLE OILS                                    ,NEPAL,TON,152190.0,253.24
VEGETABLE OILS                                    ,NETHERLAND,TON,294168.0,443.3
VEGETABLE OILS                                    ,NEW ZEALAND,TON,3.0,0.02
VEGETABLE OILS                                    ,NIGERIA,TON,264.0,0.5
VEGETABLE OILS                                    ,PAPUA N GNA,TON,327209.0,414.11
VEGETABLE OILS                                    ,PARAGUAY,TON,270.0,0.62
VEGETABLE OILS                                    ,PHILIPPINES,TON,17024.0,17.5
VEGETABLE OILS                                    ,POLAND,TON,7458.0,9.64
VEGETABLE OILS                                    ,PORTUGAL,TON,39.0,0.06
VEGETABLE OILS                                    ,ROMANIA,TON,197897.0,274.68
VEGETABLE OILS                                    ,RUSSIA,TON,635288.0,1004.11
VEGETABLE OILS                                    ,SAUDI ARAB,TON,0.0,0.0
VEGETABLE OILS                                    ,SERBIA,TON,110.0,0.16
VEGETABLE OILS                                    ,SIERRA LEONE,TON,962.0,1.7
VEGETABLE OILS                                    ,SINGAPORE,TON,422064.0,479.26
VEGETABLE OILS                                    ,SLOVENIA,TON,0.0,0.0
VEGETABLE OILS                                    ,SOLOMON IS,TON,0.0,0.0
VEGETABLE OILS                                    ,SOUTH AFRICA,TON,0.0,0.01
VEGETABLE OILS                                    ,SPAIN,TON,3996.0,13.49
VEGETABLE OILS                                    ,SRI LANKA DSR,TON,4998.0,8.79
VEGETABLE OILS                                    ,SWITZERLAND,TON,140814.0,209.99
VEGETABLE OILS                                    ,TAIWAN,TON,993.0,1.24
VEGETABLE OILS                                    ,THAILAND,TON,1115257.0,1457.0
VEGETABLE OILS                                    ,TOGO,TON,2593.0,3.94
VEGETABLE OILS                                    ,TUNISIA,TON,16.0,0.02
VEGETABLE OILS                                    ,TURKEY,TON,130428.0,219.91
VEGETABLE OILS                                    ,U ARAB EMTS,TON,8552.0,10.72
VEGETABLE OILS                                    ,U K,TON,20.0,0.04
VEGETABLE OILS                                    ,U S A,TON,47339.0,78.52
VEGETABLE OILS                                    ,UKRAINE,TON,431596.0,604.86
VEGETABLE OILS                                    ,UNSPECIFIED,TON,2.0,0.01
VEGETABLE OILS                                    ,VIETNAM SOC REP,TON,7017.0,13.16
PULSES                                            ,AFGHANISTAN,TON,7242.0,7.53
PULSES                                            ,ARGENTINA,TON,794.0,0.54
PULSES                                            ,AUSTRALIA,TON,362074.0,274.49
PULSES                                            ,BRAZIL,TON,52595.0,56.84
PULSES                                            ,CANADA,TON,485493.0,370.11
PULSES                                            ,CHINA P RP,TON,4475.0,7.05
PULSES                                            ,DJIBOUTI,TON,5448.0,5.65
PULSES                                            ,ETHIOPIA,TON,16987.0,13.88
PULSES                                            ,IRAN,TON,629.0,0.59
PULSES                                            ,KENYA,TON,3449.0,3.13
PULSES                                            ,KYRGHYZSTAN,TON,1306.0,1.52
PULSES                                            ,LEBANON,TON,0.0,0.0
PULSES                                            ,MADAGASCAR,TON,2746.0,2.18
PULSES                                            ,MALAWI,TON,61914.0,39.87
PULSES                                            ,MALAYSIA,TON,0.0,0.0
PULSES                                            ,MALDIVES,TON,1.0,0.0
PULSES                                            ,MEXICO,TON,0.0,0.0
PULSES                                            ,MOZAMBIQUE,TON,462318.0,296.27
PULSES                                            ,MYANMAR,TON,751260.0,663.72
PULSES                                            ,NETHERLAND,TON,0.0,0.0
PULSES                                            ,NETHERLANDANTIL,TON,10000.0,7.51
PULSES                                            ,NIGERIA,TON,0.0,0.0
PULSES                                            ,POLAND,TON,110.0,0.06
PULSES                                            ,RUSSIA,TON,911.0,0.5
PULSES                                            ,RWANDA,TON,720.0,0.56
PULSES                                            ,SAUDI ARAB,TON,0.0,0.0
PULSES                                            ,SINGAPORE,TON,15942.0,13.69
PULSES                                            ,SOUTH AFRICA,TON,5919.0,5.6
PULSES                                            ,SPAIN,TON,0.0,0.0
PULSES                                            ,SRI LANKA DSR,TON,970.0,0.84
PULSES                                            ,SUDAN,TON,50957.0,45.62
PULSES                                            ,TAIWAN,TON,0.0,0.0
PULSES                                            ,TANZANIA REP,TON,168824.0,106.64
PULSES                                            ,THAILAND,TON,248.0,0.24
PULSES                                            ,TURKEY,TON,3777.0,4.4
PULSES                                            ,TURKMENISTAN,TON,0.0,0.0
PULSES                                            ,U ARAB EMTS,TON,16554.0,12.51
PULSES                                            ,U K,TON,0.0,0.0
PULSES                                            ,U S A,TON,39.0,0.04
PULSES                                            ,UGANDA,TON,910.0,0.87
PULSES                                            ,UKRAINE,TON,192.0,0.14
PULSES                                            ,UNSPECIFIED,TON,375.0,0.45
PULSES                                            ,URUGUAY,TON,0.0,0.0
PULSES                                            ,UZBEKISTAN,TON,536.0,0.57
PULSES                                            ,VENEZUELA,TON,450.0,0.28
FRESH FRUITS                                      ,AFGHANISTAN,TON,54257.0,210.11
FRESH FRUITS                                      ,ALGERIA,TON,4133.0,3.36
FRESH FRUITS                                      ,ARGENTINA,TON,1120.0,1.24
FRESH FRUITS                                      ,AUSTRALIA,TON,16237.0,53.9
FRESH FRUITS                                      ,BAHARAIN IS,TON,40.0,0.03
FRESH FRUITS                                      ,BANGLADESH PR,TON,28.0,0.04
FRESH FRUITS                                      ,BELGIUM,TON,8048.0,6.33
FRESH FRUITS                                      ,BENIN,TON,36.0,0.05
FRESH FRUITS                                      ,BHUTAN,TON,344.0,0.15
FRESH FRUITS                                      ,BRAZIL,TON,11525.0,10.51
FRESH FRUITS                                      ,CANADA,TON,530.0,2.12
FRESH FRUITS                                      ,CHILE,TON,80294.0,120.17
FRESH FRUITS                                      ,CHINA P RP,TON,12315.0,14.14
FRESH FRUITS                                      ,CROATIA,TON,405.0,0.34
FRESH FRUITS                                      ,CZECH REPUBLIC,TON,2.0,0.01
FRESH FRUITS                                      ,EGYPT A RP,TON,99854.0,51.0
FRESH FRUITS                                      ,FRANCE,TON,1419.0,1.24
FRESH FRUITS                                      ,GEORGIA,TON,2.0,0.02
FRESH FRUITS                                      ,GERMANY,TON,108.0,0.39
FRESH FRUITS                                      ,GREECE,TON,18438.0,20.33
FRESH FRUITS                                      ,HONG KONG,TON,59.0,0.32
FRESH FRUITS                                      ,INDONESIA,TON,17205.0,58.42
FRESH FRUITS                                      ,IRAN,TON,162854.0,131.57
FRESH FRUITS                                      ,IRAQ,TON,217258.0,79.47
FRESH FRUITS                                      ,ISRAEL,TON,792.0,5.1
FRESH FRUITS                                      ,ITALY,TON,52326.0,46.65
FRESH FRUITS                                      ,JAPAN,TON,0.0,0.0
FRESH FRUITS                                      ,JORDAN,TON,323.0,1.27
FRESH FRUITS                                      ,KENYA,TON,57.0,0.12
FRESH FRUITS                                      ,KOREA RP,TON,0.0,0.0
FRESH FRUITS                                      ,KYRGHYZSTAN,TON,0.0,0.0
FRESH FRUITS                                      ,LEBANON,TON,2.0,0.0
FRESH FRUITS                                      ,LIBYA,TON,53.0,0.06
FRESH FRUITS                                      ,MALAWI,TON,20.0,0.06
FRESH FRUITS                                      ,MALAYSIA,TON,375.0,0.65
FRESH FRUITS                                      ,MALDIVES,TON,3.0,0.02
FRESH FRUITS                                      ,MAURITIUS,TON,3.0,0.01
FRESH FRUITS                                      ,MOLDOVA,TON,20.0,0.02
FRESH FRUITS                                      ,MOROCCO,TON,538.0,0.57
FRESH FRUITS                                      ,MYANMAR,TON,32228.0,111.76
FRESH FRUITS                                      ,NAMIBIA,TON,12.0,0.09
FRESH FRUITS                                      ,NEPAL,TON,2017.0,6.32
FRESH FRUITS                                      ,NETHERLAND,TON,1631.0,5.04
FRESH FRUITS                                      ,NEW ZEALAND,TON,23132.0,34.19
FRESH FRUITS                                      ,OMAN,TON,4826.0,7.41
FRESH FRUITS                                      ,PAKISTAN IR,TON,142.0,0.23
FRESH FRUITS                                      ,PERU,TON,291.0,1.56
FRESH FRUITS                                      ,PHILIPPINES,TON,15.0,0.09
FRESH FRUITS                                      ,POLAND,TON,26322.0,20.95
FRESH FRUITS                                      ,PORTUGAL,TON,1058.0,0.94
FRESH FRUITS                                      ,QATAR,TON,13.0,0.04
FRESH FRUITS                                      ,ROMANIA,TON,139.0,0.14
FRESH FRUITS                                      ,RUSSIA,TON,0.0,0.0
FRESH FRUITS                                      ,SAUDI ARAB,TON,11256.0,10.87
FRESH FRUITS                                      ,SERBIA,TON,3329.0,3.22
FRESH FRUITS                                      ,SINGAPORE,TON,278.0,0.84
FRESH FRUITS                                      ,SLOVENIA,TON,79.0,0.05
FRESH FRUITS                                      ,SOUTH AFRICA,TON,81653.0,71.64
FRESH FRUITS                                      ,SPAIN,TON,1421.0,1.97
FRESH FRUITS                                      ,SRI LANKA DSR,TON,21562.0,71.02
FRESH FRUITS                                      ,STATE OF PALESTINE,TON,105.0,0.42
FRESH FRUITS                                      ,SYRIA,TON,95.0,0.54
FRESH FRUITS                                      ,TAIWAN,TON,20.0,0.02
FRESH FRUITS                                      ,TAJIKISTAN,TON,0.0,0.0
FRESH FRUITS                                      ,TANZANIA REP,TON,1482.0,4.31
FRESH FRUITS                                      ,THAILAND,TON,3044.0,4.78
FRESH FRUITS                                      ,TUNISIA,TON,4546.0,4.12
FRESH FRUITS                                      ,TURKEY,TON,108139.0,88.83
FRESH FRUITS                                      ,U ARAB EMTS,TON,175973.0,163.54
FRESH FRUITS                                      ,U K,TON,69.0,0.04
FRESH FRUITS                                      ,U S A,TON,258336.0,1021.53
FRESH FRUITS                                      ,UGANDA,TON,2.0,0.0
FRESH FRUITS                                      ,UKRAINE,TON,0.0,0.0
FRESH FRUITS                                      ,UZBEKISTAN,TON,0.0,0.0
FRESH FRUITS                                      ,VIETNAM SOC REP,TON,25631.0,27.66
FRESH FRUITS                                      ,ZIMBABWE,TON,3.0,0.01
FRESH VEGETABLES                                  ,AFGHANISTAN,TON,0.0,0.0
FRESH VEGETABLES                                  ,ALGERIA,TON,0.0,0.0
FRESH VEGETABLES                                  ,AUSTRIA,TON,0.0,0.0
FRESH VEGETABLES                                  ,BANGLADESH PR,TON,93.0,0.04
FRESH VEGETABLES                                  ,BELGIUM,TON,50.0,0.09
FRESH VEGETABLES                                  ,BHUTAN,TON,5048.0,1.11
FRESH VEGETABLES                                  ,BRAZIL,TON,0.0,0.0
FRESH VEGETABLES                                  ,CANADA,TON,1.0,0.0
FRESH VEGETABLES                                  ,CHINA P RP,TON,99.0,0.14
FRESH VEGETABLES                                  ,EGYPT A RP,TON,72.0,0.06
FRESH VEGETABLES                                  ,GERMANY,TON,11.0,0.02
FRESH VEGETABLES                                  ,GREECE,TON,0.0,0.0
FRESH VEGETABLES                                  ,HUNGARY,TON,0.0,0.0
FRESH VEGETABLES                                  ,INDONESIA,TON,56.0,0.15
FRESH VEGETABLES                                  ,IRAN,TON,0.0,0.0
FRESH VEGETABLES                                  ,ITALY,TON,0.0,0.0
FRESH VEGETABLES                                  ,JAPAN,TON,17.0,0.04
FRESH VEGETABLES                                  ,KOREA RP,TON,0.0,0.0
FRESH VEGETABLES                                  ,MALAYSIA,TON,40.0,0.06
FRESH VEGETABLES                                  ,NEPAL,TON,11842.0,1.16
FRESH VEGETABLES                                  ,NETHERLAND,TON,4.0,0.02
FRESH VEGETABLES                                  ,NIGER,TON,0.0,0.0
FRESH VEGETABLES                                  ,NIGERIA,TON,4.0,0.0
FRESH VEGETABLES                                  ,OMAN,TON,0.0,0.0
FRESH VEGETABLES                                  ,PERU,TON,9.0,0.06
FRESH VEGETABLES                                  ,POLAND,TON,0.0,0.0
FRESH VEGETABLES                                  ,RUSSIA,TON,84.0,0.08
FRESH VEGETABLES                                  ,SINGAPORE,TON,0.0,0.0
FRESH VEGETABLES                                  ,SRI LANKA DSR,TON,17.0,0.01
FRESH VEGETABLES                                  ,TAIWAN,TON,9.0,0.03
FRESH VEGETABLES                                  ,THAILAND,TON,324.0,1.72
FRESH VEGETABLES                                  ,TURKEY,TON,0.0,0.0
FRESH VEGETABLES                                  ,U ARAB EMTS,TON,0.0,0.0
FRESH VEGETABLES                                  ,U K,TON,0.0,0.01
FRESH VEGETABLES                                  ,U S A,TON,17.0,0.05
FRESH VEGETABLES                                  ,UNSPECIFIED,TON,27.0,0.02
FRESH VEGETABLES                                  ,VIETNAM SOC REP,TON,322.0,0.45
PROCESSED FRUITS AND JUICES                       ,AFGHANISTAN,KGS,5918014.0,19.19
PROCESSED FRUITS AND JUICES                       ,ARGENTINA,KGS,497845.0,1.11
PROCESSED FRUITS AND JUICES                       ,AUSTRALIA,KGS,130689.0,0.41
PROCESSED FRUITS AND JUICES                       ,AUSTRIA,KGS,3451.0,0.03
PROCESSED FRUITS AND JUICES                       ,BAHARAIN IS,KGS,11448.0,0.02
PROCESSED FRUITS AND JUICES                       ,BANGLADESH PR,KGS,887860.0,0.81
PROCESSED FRUITS AND JUICES                       ,BELGIUM,KGS,1146926.0,4.52
PROCESSED FRUITS AND JUICES                       ,BHUTAN,KGS,801788.0,0.73
PROCESSED FRUITS AND JUICES                       ,BRAZIL,KGS,4274537.0,6.92
PROCESSED FRUITS AND JUICES                       ,BULGARIA,KGS,0.0,0.0
PROCESSED FRUITS AND JUICES                       ,CANADA,KGS,282137.0,1.22
PROCESSED FRUITS AND JUICES                       ,CHILE,KGS,821936.0,2.93
PROCESSED FRUITS AND JUICES                       ,CHINA P RP,KGS,11302301.0,14.87
PROCESSED FRUITS AND JUICES                       ,COSTA RICA,KGS,7200.0,0.04
PROCESSED FRUITS AND JUICES                       ,CROATIA,KGS,42140.0,0.2
PROCESSED FRUITS AND JUICES                       ,CYPRUS,KGS,48002.0,0.11
PROCESSED FRUITS AND JUICES                       ,DENMARK,KGS,1980.0,0.02
